gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101277923	MCF2L	-2.74	6.44	239.98	MCF.2 cell line derived transforming sequence like
LOC101287825	SMAD6	-2.92	6.06	178.97	SMAD family member 6
LOC117196139	LOC117196139	-2.66	5.91	223.44	translation initiation factor IF-2-like
LOC101276421	MPRIP	-2.2	9.74	2258.87	myosin phosphatase Rho interacting protein
LOC101281843	DMRT2	-3.57	7.78	563.89	doublesex and mab-3 related transcription factor 2
LOC101277066	PPP1R12C	-2.02	6.54	245.46	protein phosphatase 1 regulatory subunit 12C
LOC101279971	LEMD2	-2.45	7.21	393.9	LEM domain nuclear envelope protein 2
CCDC9B	CCDC9B	-2.09	6.51	250.54	coiled-coil domain containing 9B
LOC101269948	PKN3	-2.79	7.25	396.31	protein kinase N3
LOC101286372	SOX12	-2	5.12	93	SRY-box transcription factor 12
CCN5	CCN5	-3.05	4.62	66.98	cellular communication network factor 5
LOC101285588	SYT15	-2.73	4.66	65.28	synaptotagmin-15
LOC125963976	LOC125963976	-3.06	3.55	31.73	translation initiation factor IF-2-like
LOC101278742	IGF2	-1.96	7.42	467.68	insulin like growth factor 2
LOC101288148	LOC101288148	-2.87	4.19	46.89	interferon regulatory factor 4-like
LOC125961524	LOC125961524	-3.07	6.01	169.16	SRY-box transcription factor 18
LOC101271831	SPNS2	-2.43	5.85	147.92	sphingolipid transporter 2
LOC101274924	SNX21	-1.91	5.58	128.87	sorting nexin family member 21
LOC101277997	AHRR	-1.88	6.31	229.72	aryl hydrocarbon receptor repressor
LOC105747952	ZNF316	-1.77	6.75	297.16	zinc finger protein 316
LOC101274751	SCARA3	-2.23	7.76	587.99	scavenger receptor class A member 3
LOC101281047	GJC2	-2.1	5.5	121.58	gap junction protein gamma 2
MTSS2	MTSS2	-1.59	7.42	477.97	MTSS I-BAR domain containing 2
LOC101281893	MYH11	-3.01	9.59	2004.29	myosin heavy chain 11
LOC101279368	SMAD7	-1.87	4.53	69.5	SMAD family member 7
LOC101269228	NKD2	-2.01	5.06	90.52	NKD inhibitor of WNT signaling pathway 2
LOC101277187	SLC9A3R2	-2.01	6.1	186.94	SLC9A3 regulator 2
LOC101283075	ASTN2	-1.95	5.25	100.99	astrotactin 2
LOC101270897	CARD10	-2.13	7.03	344.42	caspase recruitment domain family member 10
LOC101275204	ZC3H18	-2.11	6.78	291.68	zinc finger CCCH-type containing 18
LOC101277160	FGD5	-2.27	8.04	689.42	FYVE, RhoGEF and PH domain containing 5
LOC101273351	SCAF1	-1.98	7.87	615.97	SR-related CTD associated factor 1
LOC101280167	ARAP3	-2.16	6.38	216.61	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
LOC101276958	ICAM1	-1.98	5.02	87.62	intercellular adhesion molecule 1
LOC101286939	SH3TC1	-2.18	5.4	108.14	SH3 domain and tetratricopeptide repeats 1
LOC101279823	CHL1	2.49	5.52	124.72	cell adhesion molecule L1 like
LOC101289879	WSCD1	-2.42	5.92	185.06	WSC domain containing 1
LOC101289486	FOXS1	-2.51	4.58	64.01	forkhead box S1
LOC101275507	LHX6	-2.56	4.83	77.81	LIM homeobox 6
LOC101283415	TAGLN	-2.23	8.28	866.42	transgelin
LOC101273972	SLCO2A1	-2.51	7.26	413.82	solute carrier organic anion transporter family member 2A1
LOC101275144	PLXND1	-2.16	8.93	1280.04	plexin D1
LOC117202352	LOC117202352	-1.99	4.93	81.46	protein C19orf12 homolog
LOC101273394	VPS37B	-1.67	5.89	183.5	VPS37B subunit of ESCRT-I
LOC101275063	PIP5K1C	-1.64	6.48	248.29	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
LOC101279997	PGM5	-1.77	5.99	173.37	phosphoglucomutase 5
LOC101275316	PRLR	2.63	4.23	54.43	prolactin receptor
LOC101283286	NXPH3	-2.55	4.52	68.67	neurexophilin 3
LOC101271232	PLEC	-2.04	11.37	6909.37	plectin
LOC101270479	MFNG	-2.34	5.15	87.71	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
LOC101289221	PPP1R12B	-1.71	7.85	728.34	protein phosphatase 1 regulatory subunit 12B
LOC101280647	VASN	-2.06	6.32	220.9	vasorin
LOC101271037	BAHCC1	-1.76	6.6	256.62	BAH domain and coiled-coil containing 1
LOC101271197	GLCE	1.94	5	93.29	glucuronic acid epimerase
LOC101270912	OGFR	-1.63	5.21	99.06	opioid growth factor receptor
LOC101277627	CHST7	-2.17	4.01	43.11	carbohydrate sulfotransferase 7
LOC101284865	SOX13	-2.34	6.21	199.41	SRY-box transcription factor 13
LOC101277090	ARHGAP44	-2.36	4.15	44.56	Rho GTPase activating protein 44
LOC101270065	ADRA2B	-2.81	4.55	66.84	adrenoceptor alpha 2B
LOC101270654	ANK3	2.57	6.31	218.87	ankyrin 3
LOC101273298	TSPAN9	-1.91	6.73	280.77	tetraspanin 9
LOC101282067	LFNG	-1.77	5.97	166.37	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
LOC101271428	BCAM	-2.49	7.69	552.56	basal cell adhesion molecule (Lutheran blood group)
LOC101279263	EHBP1L1	-1.8	7.52	475.64	EH domain binding protein 1 like 1
TEDC1	TEDC1	-1.84	6.29	211.73	tubulin epsilon and delta complex 1
LOC101282727	NR2F2	-1.65	5.38	117.43	nuclear receptor subfamily 2 group F member 2
LOC101286513	LY6E	-1.7	7.12	427.2	lymphocyte antigen 6 family member E
LOC101274288	ANO1	-1.65	5.75	143.14	anoctamin 1
LOC101270761	CSRP1	-2.29	8.5	1021.2	cysteine and glycine rich protein 1
C18H13orf46	C18H13orf46	-2.08	4.59	78.73	chromosome 18 C13orf46 homolog
LOC101281726	PDZRN3	-1.66	6.47	237.66	PDZ domain containing ring finger 3
LOC101284353	PGF	-2.91	4.73	84.26	placental growth factor
LOC101278172	HDAC7	-1.83	8.08	719.24	histone deacetylase 7
LOC101284552	WWC3	-1.54	7.71	561.99	WWC family member 3
LOC101270992	PARP10	-2.15	5.41	111.18	poly(ADP-ribose) polymerase family member 10
LOC101284582	THBD	-2.92	6.24	195.74	thrombomodulin
LOC101274154	SYT7	-2.17	4.83	77.26	synaptotagmin 7
LOC101277839	NEURL1B	-2.36	6.59	295.56	neuralized E3 ubiquitin protein ligase 1B
LOC101278940	BCL2L2	-1.52	7.53	522.34	poly(A) binding protein nuclear 1
LOC101285579	FNIP2	-1.69	7.5	488.69	folliculin interacting protein 2
LOC101286807	FMNL3	-1.78	5.94	163.37	formin like 3
LOC101280855	FAM171A1	-1.7	6.01	169.77	family with sequence similarity 171 member A1
LOC101274861	AMOTL2	-1.82	6.73	284.16	angiomotin like 2
LOC101279705	HOXD9	-2.41	4.46	61.77	homeobox D9
LOC101287612	MEX3D	-1.73	6.56	252.82	mex-3 RNA binding family member D
LOC101270266	TIE1	-2.02	6.75	280.62	tyrosine kinase with immunoglobulin like and EGF like domains 1
LOC101289858	ADCY4	-1.76	6.69	276.96	adenylate cyclase 4
LOC101278230	CLIP2	-1.68	7.21	401.46	CAP-Gly domain containing linker protein 2
LOC101281067	MECP2	-1.77	5.63	136.28	methyl-CpG binding protein 2
LOC101270656	THAP6	4.99	2.35	13.95	THAP domain containing 6
LOC101287513	CAMK2B	-2.25	5.29	101.78	calcium/calmodulin dependent protein kinase II beta
LOC101289779	TRIL	-2.1	4.88	76.2	TLR4 interactor with leucine rich repeats
LOC117200079	LOC117200079	-2.5	4.49	74.47	translation initiation factor IF-2-like
LOC125960473	LOC125960473	-2.41	8.43	925.26	uncharacterized LOC125960473
LOC101284988	IGFBP7	-2.65	8.65	1047.9	insulin like growth factor binding protein 7
LOC101279577	BCR	-1.94	7.13	369.04	BCR activator of RhoGEF and GTPase
LOC101287424	CCDC88C	-1.76	6.95	324.52	coiled-coil domain containing 88C
LOC101273039	TEAD4	-2.15	6.91	314.26	TEA domain transcription factor 4
LOC101279215	DACT3	-1.98	4.85	77.79	dishevelled binding antagonist of beta catenin 3
LOC101282209	SCARF1	-2.41	6.07	176.65	scavenger receptor class F member 1
LOC101273734	IGFBP2	-2.68	5.61	129.27	insulin like growth factor binding protein 2
LOC101279360	LGI4	-2.53	3.41	27.99	leucine rich repeat LGI family member 4
LOC101282500	TULP4	-1.38	7.02	349.35	TUB like protein 4
LOC101274745	CRTAC1	-1.75	4.98	76.81	cartilage acidic protein 1
LOC101273278	GAS2L2	-2.31	4.64	64.59	growth arrest specific 2 like 2
LOC101289073	EXOC3L2	-2.73	3.99	42.03	exocyst complex component 3 like 2
LOC101287887	RGS3	-1.55	7.1	381.14	regulator of G protein signaling 3
LOC101286236	DIDO1	-1.8	8.01	630.71	death inducer-obliterator 1
LOC101282863	TCAP	-2.85	3.79	36.7	titin-cap
LOC101272549	GIMAP6	-1.94	5.4	122.48	GTPase, IMAP family member 6
LOC101269366	LRRC37A	3.11	3.84	40.73	leucine-rich repeat-containing protein 37B
LOC101271832	RAI1	-1.47	6.29	211.2	retinoic acid induced 1
LOC101276186	COL4A2	-2.4	9.74	2231.89	collagen type IV alpha 2 chain
LOC101272026	CSPG4	-2.45	9.17	1500.37	chondroitin sulfate proteoglycan 4
LOC101288063	BCL2L1	-1.49	6.67	346.36	BCL2 like 1
LOC101284737	LZTS2	-1.58	6.91	319.34	leucine zipper tumor suppressor 2
LOC101289274	PALD1	-1.97	6.5	253.27	phosphatase domain containing paladin 1
LOC101270486	COL13A1	-2.04	4.57	61.13	collagen alpha-1(XIII) chain
LOC101283112	PXN	-2.08	7.92	636.52	paxillin
TAMALIN	TAMALIN	-2.16	5.04	88.81	trafficking regulator and scaffold protein tamalin
LOC101272346	CLEC14A	-2.74	6.94	320.5	C-type lectin domain containing 14A
TRIR	TRIR	-1.86	5.22	99.13	telomerase RNA component interacting RNase
LOC125961947	LOC125961947	3.27	3.27	27.95	leucine-rich repeat transmembrane protein CCDC168-like
LOC101287498	VSIG2	-2.67	4.34	53.09	V-set and immunoglobulin domain containing 2
LOC101272794	ZFPM1	-1.73	5.17	93.21	zinc finger protein, FOG family member 1
LOC101286496	CPM	2.56	3.56	30.37	carboxypeptidase M
LOC101279900	VWA1	-1.86	5.09	95.68	von Willebrand factor A domain containing 1
LOC101276210	ZBTB46	-1.78	5.71	146.85	zinc finger and BTB domain containing 46
LOC101283651	ADCY3	-1.79	7.53	493.34	adenylate cyclase 3
LOC101281273	ITGA8	-1.86	5.51	117.29	integrin subunit alpha 8
LOC101279672	CCDC85C	-2.01	5.28	109.31	coiled-coil domain containing 85C
LOC101282986	MMRN2	-2.61	7.55	493.26	multimerin 2
LOC125965560	LOC125965560	-2.08	9.06	1390.76	BOLA class I histocompatibility antigen, alpha chain BL3-7-like
LOC101271466	MMP27	4.69	2.74	17.46	matrix metallopeptidase 27
LOC101276152	EPAS1	-1.97	8.62	1045.97	endothelial PAS domain protein 1
LOC101283386	GATA2	-2.43	4.82	82.71	GATA binding protein 2
LOC101271984	CFH	3.02	3.82	38.21	complement factor H
LOC101289106	CNOT2	1.68	5.07	93.5	CCR4-NOT transcription complex subunit 2
LOC101276810	LAS1L	-1.57	6.15	178.14	LAS1 like ribosome biogenesis factor
LOC101274392	KIF21A	2.09	4.89	75.7	kinesin family member 21A
LOC101279535	FAM110D	-2.68	3.41	27.92	family with sequence similarity 110 member D
LOC101270077	SYNPO	-1.71	7.87	649.87	synaptopodin
LOC101272815	IRF9	-1.64	6.49	239.28	interferon regulatory factor 9
LOC101287684	ZFYVE16	1.59	5.39	114.5	zinc finger FYVE-type containing 16
LOC117195386	LOC117195386	-1.71	7.67	538.02	zinc finger protein 154-like
LOC101279712	ENG	-1.98	7.25	402.62	endoglin
LOC101273800	FBXO31	-1.37	6.36	225.8	F-box protein 31
LOC101271043	LRP5	-1.41	6.44	229.09	LDL receptor related protein 5
LOC101271861	TAF1B	2.31	3.55	30.86	TATA-box binding protein associated factor, RNA polymerase I subunit B
LOC101269926	SIPA1	-1.7	6.18	191.31	signal-induced proliferation-associated 1
LOC101278402	PRX	-1.75	4.88	71.21	periaxin
LOC125961710	LOC125961710	-2.4	3.86	46.62	translation initiation factor IF-2-like
LOC101269582	STT3A	1.4	5.89	162.77	STT3 oligosaccharyltransferase complex catalytic subunit A
LOC101280657	MEGF6	-1.61	5.22	93.07	multiple EGF like domains 6
LOC101287602	SURF6	-1.82	4.99	85.72	surfeit 6
LOC101273023	ADCY6	-1.68	7.19	384.74	adenylate cyclase 6
LOC101277256	GIGYF1	-1.9	7.4	450.24	GRB10 interacting GYF protein 1
LOC101274531	METTL2A	2.19	3.56	31.07	methyltransferase 2A, methylcytidine
LOC101285284	MLLT1	-1.48	6.29	214.02	MLLT1 super elongation complex subunit
LOC101290410	ADAMTS15	-2.42	5.51	123.9	ADAM metallopeptidase with thrombospondin type 1 motif 15
LOC101269277	QPCT	2.24	4.52	65.6	glutaminyl-peptide cyclotransferase
LOC101290367	ZBTB4	-1.62	7.07	359.56	zinc finger and BTB domain containing 4
LOC101276405	CRABP2	2.57	4.85	82.16	cellular retinoic acid binding protein 2
LOC125963463	LOC125963463	-3.03	3.86	36.6	atherin-like
LOC101269453	GIT1	-1.84	6.96	330.21	GIT ArfGAP 1
LOC101276530	MAFG	-1.34	5.86	154.82	MAF bZIP transcription factor G
LOC101278290	APLP1	-1.55	6.1	180.78	amyloid beta precursor like protein 1
LOC101285657	PTPRZ1	3.08	4.52	63.75	protein tyrosine phosphatase receptor type Z1
LOC101276578	LOC101276578	-1.83	8.36	916.99	BOLA class I histocompatibility antigen, alpha chain BL3-7-like
LOC101278332	DVL1	-1.72	7.15	376.24	dishevelled segment polarity protein 1
LOC101284733	DOC2B	-2.19	5.19	117.42	double C2 domain beta
LOC101271611	TAL1	-2.3	4.67	84.66	TAL bHLH transcription factor 1, erythroid differentiation factor
LOC101279124	HIC1	-1.69	5.87	156.72	HIC ZBTB transcriptional repressor 1
LOC101270277	BRI3	-1.25	5.98	162.61	brain protein I3
LOC101279552	SAP25	-2.01	6.19	192.68	Sin3A associated protein 25
RIPOR1	RIPOR1	-1.63	7.37	438.63	RHO family interacting cell polarization regulator 1
LOC101280054	PHF19	-1.32	6.32	233.18	PHD finger protein 19
LOC101276838	DAB2IP	-1.74	7.49	483.71	DAB2 interacting protein
LOC101285209	ACAN	-2.17	4.68	66.84	aggrecan
LOC101270972	SBSPON	-3.15	3.75	34.32	somatomedin B and thrombospondin type 1 domain containing
LOC101283347	ANKRD33B	-2.08	5.13	90.95	ankyrin repeat domain 33B
LOC101282699	KIFC3	-1.73	7.01	339.31	kinesin family member C3
LOC101283433	CRACR2B	-2.7	5.47	114.17	calcium release activated channel regulator 2B
LOC101283497	ATOH8	-2.04	4.48	64.55	atonal bHLH transcription factor 8
LOC101290241	WRNIP1	-1.88	6.39	220.29	WRN helicase interacting protein 1
LOC101288347	TTLL5	1.81	5.27	106.01	tubulin tyrosine ligase like 5
LOC101275965	SLC2A4RG	-1.75	6.26	202.24	SLC2A4 regulator
LOC101278512	CCNB3	5.36	2.11	11.37	cyclin B3
LOC101286774	HOXA7	-2.13	4.25	51.15	homeobox A7
LOC101283216	LBH	-1.8	5.86	200.87	LBH regulator of WNT signaling pathway
LOC101272845	CCHCR1	-1.33	5.29	103.86	coiled-coil alpha-helical rod protein 1
LOC101286961	COL27A1	-1.76	6.37	219.03	collagen type XXVII alpha 1 chain
LOC101289263	ARID5A	-1.61	4.03	43.67	AT-rich interaction domain 5A
LOC101289721	TNFRSF1B	-1.92	6.27	212.33	TNF receptor superfamily member 1B
ZFTA	ZFTA	-1.85	6.06	182.92	zinc finger translocation associated
LOC101285148	AFAP1L2	-1.87	6.33	214.5	actin filament associated protein 1 like 2
LOC101286046	CSRNP1	-1.86	5.66	145.08	cysteine and serine rich nuclear protein 1
LOC117201048	PRRT1B	-1.83	5.11	99.32	proline rich transmembrane protein 1B
LOC101284853	BRD1	-1.44	7.29	418.77	bromodomain containing 1
LOC101285325	MGLL	-2.24	7.86	690.63	monoglyceride lipase
LOC101277116	FLRT3	2.67	3.3	25.14	fibronectin leucine rich transmembrane protein 3
LOC101280271	LOC101280271	5.77	2.21	12.89	histone H2B type 3-B
LOC101273961	MAP3K3	-1.41	7.11	369.66	mitogen-activated protein kinase kinase kinase 3
LOC101284429	LOC101284429	5.83	2.65	16.35	ultra-long-chain fatty acid omega-hydroxylase
LOC101269966	TPPP	-1.65	4.52	69.56	tubulin polymerization promoting protein
LOC101282090	SOX17	-3.1	5.21	95.95	SRY-box transcription factor 17
LOC101283165	CDC42EP4	-1.94	6.24	213.25	CDC42 effector protein 4
LOC101281432	LPAR5	2.48	4.03	46.68	lysophosphatidic acid receptor 5
LOC101275563	FADS2	-1.83	4.98	89.24	fatty acid desaturase 2
LOC101279922	PCDH1	-2.24	6.19	199.4	protocadherin 1
LOC101286158	ADARB1	-1.32	5.85	148.9	adenosine deaminase RNA specific B1
LOC101277495	BCL2L13	-1.39	6.49	229.89	BCL2 like 13
LOC101280834	SLC24A3	-1.65	5.97	161.87	solute carrier family 24 member 3
LOC101282426	SORL1	3.53	3.75	38.66	sortilin related receptor 1
LOC101271452	TCIRG1	-1.89	5.59	125.74	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3
LOC101274951	JAM3	-1.58	4.43	57.28	junctional adhesion molecule 3
LOC101286886	REM1	-1.76	4.91	79.84	RRAD and GEM like GTPase 1
LOC101290192	MIDN	-1.51	6.31	219.33	midnolin
LOC101274879	TNFRSF6B	-2.33	3.29	24.02	TNF receptor superfamily member 6b
LOC101270986	TMEM158	-1.52	5.48	127.57	transmembrane protein 158
LOC101273047	ZNF469	-1.93	6.33	212.96	zinc finger protein 469
LOC101288873	SLC45A4	-1.76	5.01	84.68	solute carrier family 45 member 4
LOC101283225	SNRNP70	-1.97	7.46	438.16	small nuclear ribonucleoprotein U1 subunit 70
LOC101274780	NCK2	-1.24	5.42	112.06	NCK adaptor protein 2
LOC101278682	GSTM3	2.19	5.55	136.28	glutathione S-transferase Mu 3
LOC101274526	ACVRL1	-1.51	7.29	433.39	activin A receptor like type 1
LOC101280566	CDK9	-1.33	6.25	209.54	cyclin dependent kinase 9
LOC101274505	EMILIN1	-1.37	6.18	193.26	elastin microfibril interfacer 1
LOC101276084	AUTS2	-1.56	6.33	213.29	activator of transcription and developmental regulator AUTS2
LOC101289266	HEG1	-1.46	8.57	1019.03	heart development protein with EGF like domains 1
LOC101283155	CRAMP1	-1.57	6.56	253.07	cramped chromatin regulator homolog 1
LOC101272213	SYT16	2.87	3.71	36.04	synaptotagmin 16
LOC101281077	RAPGEF1	-1.19	7.22	350.21	Rap guanine nucleotide exchange factor 1
LOC101287345	GIMAP8	-1.69	5.38	111.59	GTPase, IMAP family member 8
LOC101289081	PKIG	-1.46	5.31	83.49	cAMP-dependent protein kinase inhibitor gamma
LOC101290358	R3HDM1	1.74	4.57	64.8	R3H domain containing 1
LOC101290371	TAP2	-1.64	6.68	268.02	transporter 2, ATP binding cassette subfamily B member
LOC101277867	PTGR2	2.71	3.23	26.55	prostaglandin reductase 2
LOC101280905	SH3BP5	-1.59	7.59	513.97	SH3 domain binding protein 5
LOC101289118	REC8	-2.22	6.71	294.1	REC8 meiotic recombination protein
LOC101277393	C2CD2	-1.61	6.39	230.31	C2 calcium dependent domain containing 2
LOC101286793	OSTC	2.4	4.4	63.38	oligosaccharyltransferase complex non-catalytic subunit
LOC101270191	ZXDC	-1.69	6.63	261.3	ZXD family zinc finger C
LOC101289500	NR2F6	-1.6	5.59	130.83	nuclear receptor subfamily 2 group F member 6
LOC101279123	PELP1	-1.25	6.56	241.24	proline, glutamate and leucine rich protein 1
LOC101282157	EFNB2	-2.15	5.62	130.49	ephrin B2
LOC101284962	LAMA5	-2.34	9.59	2025.28	laminin subunit alpha 5
LOC101270735	PDE2A	-1.75	6.88	317.58	phosphodiesterase 2A
LOC101285467	HAPLN3	-2	5.25	122.56	hyaluronan and proteoglycan link protein 3
LOC101272597	SEC23A	1.48	6.25	213.24	SEC23 homolog A, COPII coat complex component
LOC101279651	NEK3	1.99	5.15	103.32	NIMA related kinase 3
ANTKMT	ANTKMT	-1.55	5.56	126.43	adenine nucleotide translocase lysine methyltransferase
LOC101270756	ST3GAL1	-1.45	6.45	233.41	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
LOC101280455	TIAM1	1.92	5.18	96.45	TIAM Rac1 associated GEF 1
LOC101277024	AXIN2	-1.36	6.84	315.58	axin 2
LOC101270176	SOGA3	-1.76	5.92	162.84	SOGA family member 3
LOC101282779	ZNF746	-1.56	5.68	141.81	zinc finger protein 746
LOC101276793	PROB1	-2.11	3.74	37.14	proline rich basic protein 1
LOC101276293	NOM1	-1.27	5.57	126.46	nucleolar protein with MIF4G domain 1
LOC101286132	CEP295NL	-2.15	7.06	366.9	CEP295 N-terminal like
LOC101272202	IGHMBP2	-1.55	6.56	251.67	immunoglobulin mu DNA binding protein 2
LOC101277105	STK10	-1.22	5.56	127.75	serine/threonine kinase 10
LOC101290408	FAM43A	-1.65	4.06	45.39	family with sequence similarity 43 member A
LOC101275180	GAS6	-1.76	7.14	372.47	growth arrest specific 6
LOC101287631	LEF1	4.91	1.89	10.14	lymphoid enhancer binding factor 1
LOC101288715	TNFSF12	-1.54	4.19	44.77	TNF superfamily member 12
LOC101280521	SRPX	2.35	4.28	51.93	sushi repeat containing protein X-linked
LOC101277815	RNF39	-2.18	3.69	31.56	ring finger protein 39
LOC101286492	MSH3	1.78	4.93	83.93	mutS homolog 3
LOC101275025	NEB	2.12	6.63	273.35	nebulin
LOC101284266	DOCK6	-1.94	8.91	1263.22	dedicator of cytokinesis 6
LOC101287157	ZWILCH	3.02	2.86	20.64	zwilch kinetochore protein
LOC101269498	FHOD1	-1.84	6.35	212.76	formin homology 2 domain containing 1
