ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030850	prostate gland development	12/621	42/13419	2.67579386718608e-07	0.00010447758781422	9.55860144134509e-05	SERPINF1/MMP2/SERPINB5/TP63/FGF10/RARG/ESR1/FGFR2/SOX9/BMP4/BMP7/CRIP1	12
GO:0030856	regulation of epithelial cell differentiation	20/621	121/13419	6.55412784097886e-07	0.000234583158975035	0.000214618940617317	SFN/TP63/S1PR2/ESRP1/OVOL2/MYCL/SULT2B1/GRHL1/GRHL2/NME2/PAX8/AQP3/SFRP4/NOTCH4/SOX9/KLF7/ROCK2/BMP4/FOXN1/ETV4	20
GO:1905330	regulation of morphogenesis of an epithelium	13/621	56/13419	1.18408509731984e-06	0.000391203499460669	0.000357910094598781	GREM1/TACSTD2/FGF10/ESR1/SNAI2/SIX2/PAX8/PHB2/SOX9/BMP4/BMP7/WNT2/MMRN2	13
GO:0009913	epidermal cell differentiation	22/621	150/13419	1.50296591726102e-06	0.000461088472474006	0.000421847501438751	KRT82/DSP/SFN/IRF6/TP63/TGM1/ESRP1/CNFN/OVOL2/MYCL/SULT2B1/GRHL1/GRHL2/NME2/AQP3/SFRP4/KLF7/ROCK2/SPINK5/BMP4/FOXN1/ETV4	22
GO:0002934	desmosome organization	6/621	10/13419	1.71729997183545e-06	0.000491720225268883	0.000449872336481524	PERP/DSP/PKP3/SNAI2/GRHL1/NECTIN1	6
GO:0003338	metanephros morphogenesis	9/621	27/13419	2.03381956126834e-06	0.000545953438477969	0.000499490027777283	BASP1/GREM1/FGF10/WNT7B/FMN1/SIX2/PAX8/SOX9/BMP4	9
GO:0002009	morphogenesis of an epithelium	44/621	457/13419	3.24955202905392e-06	0.000779655720970351	0.000713303058974896	CD44/MMP2/SERPINB5/GREM1/TP63/GRHL3/TACSTD2/FGF10/ALDH1A3/RARG/ESR1/WNT7B/RIPK4/SNAI2/GPC4/OVOL2/PLEKHA4/TFAP2A/ASTN2/DEAF1/FMN1/SIX2/GRHL2/PAX8/FGFR2/PHB2/FZD2/IRX1/NOTCH4/SOX9/RASIP1/BMP4/BMP7/FOXN1/GREB1L/WNT2/FOXF2/PODXL/FERMT1/KDR/TIE1/MMRN2/PPP1CA/LAMA3	44
GO:0001656	metanephros development	15/621	80/13419	3.26747449999216e-06	0.000779655720970351	0.000713303058974896	BASP1/GREM1/NPHS2/AKR1B1/FGF10/WNT7B/FMN1/SIX2/PAX8/IRX1/SOX9/EGR1/BMP4/BMP7/GREB1L	15
GO:0043616	keratinocyte proliferation	10/621	36/13419	3.57173426603457e-06	0.000807399930137815	0.000738686095019782	SFN/IRF6/TP63/FGF10/TGM1/SNAI2/OVOL2/FGFR2/KLF9/FERMT1	10
GO:0001655	urogenital system development	34/621	321/13419	5.74787100134836e-06	0.00123435529753956	0.00112930539200176	SERPINF1/MMP2/BASP1/SERPINB5/GREM1/NPHS2/AKR1B1/TP63/TACSTD2/FGF10/RARG/ESR1/WNT7B/SDC1/TP73/EMX2/TFAP2A/FMN1/SMAD1/SIX2/PAX8/SULF2/FGFR2/IRX1/SOX9/EGR1/BMP4/LRRK2/BMP7/GREB1L/PCSK5/PODXL/SEC61A1/CRIP1	34
GO:0001501	skeletal system development	44/621	470/13419	6.71757926171577e-06	0.00137390490138425	0.00125697861573859	CD44/ZNF385A/BGN/MMP2/TGFB3/GREM1/TP63/PRELP/RARG/WNT7B/SNAI2/BARX2/TLL1/TFAP2A/DEAF1/FMN1/SMAD1/SIX2/LNPK/GRHL2/RPL38/IGF1/COL1A2/SULF2/FGFR2/INSIG1/SFRP4/TIMP1/SOX9/LOX/HOXB6/VCAN/BMP4/SPNS2/BMP7/DDRGK1/ACP5/PCSK5/COL1A1/HOXC10/KDR/CTSK/PTPN11/BPNT2	44
GO:0045606	positive regulation of epidermal cell differentiation	7/621	18/13419	8.9454911468227e-06	0.00174640383980016	0.00159777600244446	SFN/OVOL2/SULT2B1/NME2/SFRP4/BMP4/ETV4	7
GO:0002064	epithelial cell development	23/621	180/13419	9.51304069326875e-06	0.00177645694685171	0.0016252714374358	SFN/NPHS2/AKR1B1/TP63/RARG/RAB13/ESR1/WNT7B/S1PR2/KLF5/FRMD6/SDC1/RAB25/GSTM3/GRHL2/E2F4/NOTCH4/SOX9/ROCK2/PPP1R16B/BMP4/GPX1/PODXL	23
GO:0060572	morphogenesis of an epithelial bud	6/621	13/13419	1.24485815805737e-05	0.00222777741202351	0.00203818223860885	TP63/FGF10/FGFR2/BMP4/BMP7/WNT2	6
GO:0090596	sensory organ morphogenesis	26/621	224/13419	1.47097274844914e-05	0.00252713118183563	0.00231205948208869	GJB6/GRHL3/MFAP2/FGF10/ALDH1A3/RARG/MAFB/TFAP2A/OTX1/MFAP5/SIX2/RPL38/THY1/PAX8/FGFR2/FZD2/INSIG1/SOX9/BMP4/NAGLU/NECTIN1/BMP7/SOX1/WNT2/FOXF2/KDR	26
GO:0061138	morphogenesis of a branching epithelium	21/621	161/13419	1.68033552110034e-05	0.00277578502427921	0.00253955161954152	GREM1/TP63/TACSTD2/FGF10/ESR1/SNAI2/SIX2/GRHL2/PAX8/FGFR2/PHB2/NOTCH4/SOX9/RASIP1/BMP4/BMP7/GREB1L/WNT2/KDR/TIE1/PPP1CA	21
GO:0001763	morphogenesis of a branching structure	22/621	174/13419	1.75188283945538e-05	0.00278679140572625	0.0025496213020222	GREM1/TP63/TACSTD2/FGF10/ESR1/SNAI2/SIX2/GRHL2/PAX8/FGFR2/PHB2/NOTCH4/SOX9/RASIP1/BMP4/LRRK2/BMP7/GREB1L/WNT2/KDR/TIE1/PPP1CA	22
GO:0030858	positive regulation of epithelial cell differentiation	10/621	43/13419	2.00933669387562e-05	0.00302280236077344	0.00276554652601367	SFN/OVOL2/SULT2B1/NME2/PAX8/SFRP4/SOX9/BMP4/FOXN1/ETV4	10
GO:0010837	regulation of keratinocyte proliferation	8/621	27/13419	2.04100741472479e-05	0.00302280236077344	0.00276554652601367	SFN/TP63/FGF10/TGM1/SNAI2/OVOL2/FGFR2/KLF9	8
GO:0072210	metanephric nephron development	9/621	35/13419	2.1970231418011e-05	0.00305206622425533	0.00279231988607196	GREM1/NPHS2/FMN1/SIX2/PAX8/IRX1/SOX9/EGR1/BMP4	9
GO:0030216	keratinocyte differentiation	15/621	93/13419	2.20288831087113e-05	0.00305206622425533	0.00279231988607196	KRT82/DSP/SFN/IRF6/TP63/TGM1/CNFN/OVOL2/GRHL1/GRHL2/NME2/AQP3/ROCK2/FOXN1/ETV4	15
GO:0060993	kidney morphogenesis	14/621	83/13419	2.45068949988027e-05	0.00320605311250196	0.00293320170797618	BASP1/GREM1/TACSTD2/FGF10/WNT7B/FMN1/SIX2/PAX8/IRX1/SOX9/BMP4/LRRK2/BMP7/GREB1L	14
GO:0034113	heterotypic cell-cell adhesion	11/621	53/13419	2.46332369528672e-05	0.00320605311250196	0.00293320170797618	CD44/PERP/DSP/IL1RN/WNK1/SIRPA/NINJ1/THY1/DSC2/ITGB1/BMP7	11
GO:0045616	regulation of keratinocyte differentiation	8/621	28/13419	2.74241170789754e-05	0.00345269529383219	0.00315885338689432	TP63/OVOL2/GRHL1/GRHL2/NME2/AQP3/ROCK2/ETV4	8
GO:0045684	positive regulation of epidermis development	7/621	21/13419	2.89399372707704e-05	0.00345269529383219	0.00315885338689432	SFN/OVOL2/SULT2B1/NME2/SFRP4/BMP4/ETV4	7
GO:0060571	morphogenesis of an epithelial fold	7/621	21/13419	2.89399372707704e-05	0.00345269529383219	0.00315885338689432	TP63/FGF10/OVOL2/FGFR2/BMP4/BMP7/WNT2	7
GO:0048754	branching morphogenesis of an epithelial tube	18/621	133/13419	4.05073949168201e-05	0.00470214219372277	0.00430196600923156	GREM1/TACSTD2/FGF10/ESR1/SIX2/PAX8/FGFR2/PHB2/NOTCH4/SOX9/RASIP1/BMP4/BMP7/GREB1L/WNT2/KDR/TIE1/PPP1CA	18
GO:0016331	morphogenesis of embryonic epithelium	19/621	146/13419	4.3353627112195e-05	0.00477447880184547	0.00436814640458039	GREM1/TP63/GRHL3/FGF10/ALDH1A3/RARG/WNT7B/OVOL2/TFAP2A/DEAF1/GRHL2/PAX8/FGFR2/FZD2/IRX1/SOX9/BMP4/BMP7/WNT2	19
GO:0060601	lateral sprouting from an epithelium	5/621	10/13419	4.3353823811868e-05	0.00477447880184547	0.00436814640458039	TP63/FGF10/FGFR2/BMP4/BMP7	5
GO:0001823	mesonephros development	14/621	88/13419	4.81530461299754e-05	0.00517043332820611	0.00473040318955785	BASP1/GREM1/TACSTD2/FGF10/SDC1/FMN1/SMAD1/SIX2/PAX8/FGFR2/SOX9/BMP4/BMP7/GREB1L	14
GO:0042476	odontogenesis	16/621	111/13419	4.95506609343098e-05	0.00519073387104538	0.00474897605308803	TGFB3/PERP/TP63/FGF10/SDC1/TFAP2A/COL1A2/FGFR2/BSG/AQP3/BMP4/NECTIN1/BMP7/COL1A1/TCIRG1/DLX3	16
GO:0072077	renal vesicle morphogenesis	6/621	16/13419	5.15507277915224e-05	0.00527167561582354	0.00482302924425447	GREM1/FMN1/SIX2/PAX8/SOX9/BMP4	6
GO:0050673	epithelial cell proliferation	33/621	343/13419	5.62127666007314e-05	0.00561474029186376	0.0051368973738196	SERPINF1/SFN/SERPINB5/IRF6/TP63/TACSTD2/FGF10/ESR1/TGM1/SNAI2/OVOL2/SPARC/EHF/ANG/DEAF1/SGPP2/NUPR1/IGF1/NME2/FGFR2/FGFBP1/PHB2/KLF9/SOX9/PPP1R16B/BMP4/GPX1/WNT2/FERMT1/KDR/TIE1/MMRN2/EGFL7	33
GO:0043583	ear development	22/621	189/13419	6.32015038171796e-05	0.00616932861124514	0.00564428741027587	TGFB3/GJB2/ANP32B/GJB6/GRHL3/FGF10/ALDH1A3/ESRP1/MAFB/MYCL/TFAP2A/OTX1/SIX2/RPL38/PAX8/FGFR2/FZD2/INSIG1/SOX9/BMP4/NAGLU/PTPN11	22
GO:0048839	inner ear development	20/621	164/13419	7.01716969017303e-05	0.00669749862650959	0.00612750747448325	TGFB3/GJB2/ANP32B/GJB6/GRHL3/FGF10/ALDH1A3/ESRP1/MAFB/MYCL/TFAP2A/OTX1/PAX8/FGFR2/FZD2/INSIG1/SOX9/BMP4/NAGLU/PTPN11	20
GO:0042471	ear morphogenesis	15/621	103/13419	7.50632831804577e-05	0.00699663266188457	0.00640118368404267	GJB6/GRHL3/FGF10/ALDH1A3/MAFB/TFAP2A/OTX1/SIX2/RPL38/PAX8/FGFR2/FZD2/INSIG1/SOX9/NAGLU	15
GO:0072087	renal vesicle development	6/621	17/13419	7.65638498506577e-05	0.00699663266188457	0.00640118368404267	GREM1/FMN1/SIX2/PAX8/SOX9/BMP4	6
GO:0060428	lung epithelium development	8/621	32/13419	7.87630443403912e-05	0.00704765157170792	0.00644786062549738	FGF10/WNT7B/GRHL2/KLF2/FGFR2/SOX9/BMP4/WNT2	8
GO:0043588	skin development	23/621	206/13419	8.30233917557648e-05	0.00727725444063285	0.00665792312404446	KRT82/DSP/SFN/IRF6/TP63/GRHL3/FGF10/TGM1/CNFN/OVOL2/GRHL1/GRHL2/NME2/COL1A2/FGFR2/AQP3/SOX9/ROCK2/SPINK5/FOXN1/COL1A1/FERMT1/ETV4	23
GO:0001525	angiogenesis	40/621	459/13419	8.85509029664998e-05	0.00756058627616413	0.00691714198123172	SERPINF1/DCN/MMP2/GPNMB/ISM1/SMOC2/GREM1/FGF10/SLC12A2/KLF5/CREB3L1/OVOL2/SPARC/FN1/RORA/ANG/SEMA4A/SMAD1/TBXA2R/SPHK1/ADAMTS9/KLF2/NINJ1/THY1/FGFR2/FGFBP1/BSG/NOTCH4/RASIP1/ROCK2/PPP1R16B/TERT/SPINK5/BMP4/ITGB1/GPX1/KDR/TIE1/MMRN2/EGFL7	40
GO:0050678	regulation of epithelial cell proliferation	29/621	292/13419	8.97764610208081e-05	0.00756058627616413	0.00691714198123172	SERPINF1/SFN/SERPINB5/TP63/TACSTD2/FGF10/TGM1/SNAI2/OVOL2/SPARC/ANG/DEAF1/SGPP2/NUPR1/IGF1/NME2/FGFR2/FGFBP1/PHB2/KLF9/SOX9/PPP1R16B/BMP4/GPX1/WNT2/KDR/TIE1/MMRN2/EGFL7	29
GO:0072073	kidney epithelium development	17/621	129/13419	9.23756815210509e-05	0.00762987600255603	0.0069805347999612	BASP1/GREM1/NPHS2/TACSTD2/WNT7B/SDC1/FMN1/SMAD1/SIX2/PAX8/FGFR2/IRX1/SOX9/BMP4/BMP7/GREB1L/PODXL	17
GO:0061037	negative regulation of cartilage development	7/621	25/13419	0.000101755914278653	0.0082460689023927	0.00754428655416505	GREM1/RARG/SNAI2/SOX9/BMP4/CTSK/PTPN11	7
GO:0090189	regulation of branching involved in ureteric bud morphogenesis	6/621	18/13419	0.000110373029202575	0.00877874371157519	0.00803162803144665	GREM1/TACSTD2/SIX2/PAX8/SOX9/BMP4	6
GO:0032526	response to retinoic acid	14/621	95/13419	0.000113571575471064	0.00886890757542215	0.00811411849250681	SERPINF1/MMP2/GJB2/RARG/WNT7B/PCK1/FGFR2/PHB2/AQP3/SOX9/SREBF1/WNT2/COL1A1/TIE1	14
GO:0001657	ureteric bud development	13/621	84/13419	0.000119146464027707	0.00913810826783935	0.00836040883863594	BASP1/GREM1/TACSTD2/SDC1/FMN1/SMAD1/SIX2/PAX8/FGFR2/SOX9/BMP4/BMP7/GREB1L	13
GO:0072006	nephron development	17/621	132/13419	0.000123231290660195	0.00928558584886907	0.00849533532843042	BASP1/GREM1/NPHS2/TACSTD2/WNT7B/FMN1/SIX2/PAX8/SULF2/IRX1/SOX9/EGR1/BMP4/BMP7/GREB1L/PODXL/SEC61A1	17
GO:0072163	mesonephric epithelium development	13/621	85/13419	0.000134822142265925	0.0098145949327483	0.00897932305225155	BASP1/GREM1/TACSTD2/SDC1/FMN1/SMAD1/SIX2/PAX8/FGFR2/SOX9/BMP4/BMP7/GREB1L	13
GO:0072164	mesonephric tubule development	13/621	85/13419	0.000134822142265925	0.0098145949327483	0.00897932305225155	BASP1/GREM1/TACSTD2/SDC1/FMN1/SMAD1/SIX2/PAX8/FGFR2/SOX9/BMP4/BMP7/GREB1L	13
GO:0032331	negative regulation of chondrocyte differentiation	6/621	19/13419	0.000155037405623882	0.0110980942859096	0.010153590091122	GREM1/RARG/SNAI2/SOX9/BMP4/PTPN11	6
GO:0072001	renal system development	28/621	287/13419	0.000160117931184083	0.0112738772858301	0.0103144130648867	SERPINF1/BASP1/GREM1/NPHS2/AKR1B1/TACSTD2/FGF10/WNT7B/SDC1/TP73/EMX2/TFAP2A/FMN1/SMAD1/SIX2/PAX8/SULF2/FGFR2/IRX1/SOX9/EGR1/BMP4/LRRK2/BMP7/GREB1L/PCSK5/PODXL/SEC61A1	28
GO:0061448	connective tissue development	24/621	230/13419	0.000169092943136484	0.0117137772705032	0.01071687532646	CD44/BGN/GREM1/RARG/WNT7B/SNAI2/BARX2/SMAD1/SIX2/LNPK/SULF2/TIMP1/SOX9/LOX/KLF7/EGR1/BMP4/BMP7/DDRGK1/COL1A1/CTSK/PTPN11/BPNT2/CRIP1	24
GO:0051216	cartilage development	20/621	175/13419	0.000172983653698792	0.0117930919466081	0.0107894399207618	CD44/BGN/GREM1/RARG/WNT7B/SNAI2/BARX2/SMAD1/SIX2/LNPK/SULF2/TIMP1/SOX9/BMP4/BMP7/DDRGK1/COL1A1/CTSK/PTPN11/BPNT2	20
GO:0048144	fibroblast proliferation	12/621	76/13419	0.000177784063436977	0.0119309773822159	0.0109155906054315	FGF10/ESR1/WNT7B/IFI30/CD74/FN1/SPHK1/NUPR1/IGF1/FTH1/WNT2/MIF	12
GO:0072283	metanephric renal vesicle morphogenesis	5/621	13/13419	0.000197109851595568	0.0130244125015841	0.0119159688422066	GREM1/FMN1/SIX2/PAX8/BMP4	5
GO:0090183	regulation of kidney development	7/621	28/13419	0.000222050480991273	0.0140773659292489	0.0128793105848628	BASP1/GREM1/TACSTD2/SIX2/PAX8/SOX9/BMP4	7
GO:0001822	kidney development	27/621	278/13419	0.000224474414949126	0.0140773659292489	0.0128793105848628	SERPINF1/BASP1/GREM1/NPHS2/AKR1B1/TACSTD2/FGF10/WNT7B/SDC1/TP73/TFAP2A/FMN1/SMAD1/SIX2/PAX8/SULF2/FGFR2/IRX1/SOX9/EGR1/BMP4/LRRK2/BMP7/GREB1L/PCSK5/PODXL/SEC61A1	27
GO:0048736	appendage development	19/621	165/13419	0.000226155587687585	0.0140773659292489	0.0128793105848628	CRABP2/GREM1/IRF6/TP63/FGF10/RARG/TFAP2A/FMN1/LNPK/GRHL2/FGFR2/SOX9/SLC7A11/BMP4/BMP7/FOXN1/PCSK5/HOXC10/BPNT2	19
GO:0060173	limb development	19/621	165/13419	0.000226155587687585	0.0140773659292489	0.0128793105848628	CRABP2/GREM1/IRF6/TP63/FGF10/RARG/TFAP2A/FMN1/LNPK/GRHL2/FGFR2/SOX9/SLC7A11/BMP4/BMP7/FOXN1/PCSK5/HOXC10/BPNT2	19
GO:0048608	reproductive structure development	32/621	359/13419	0.000297017234059747	0.0182241288612373	0.0166731629284968	SERPINF1/MMP2/GJB2/BASP1/SERPINB5/TP63/FGF10/RARG/RAB13/ESR1/WNT7B/SDC1/OVOL2/ANG/LDOC1/GRHL2/NUPR1/LFNG/PCDH12/FGFR2/BSG/SOX9/BMP4/BMP7/GREB1L/WNT2/FOXF2/KDR/SOX15/PTPN11/DLX3/CRIP1	32
GO:0090132	epithelium migration	26/621	269/13419	0.000314553545643248	0.0187943000773792	0.0171948096780483	SERPINF1/DCN/FAT2/SMOC2/GREM1/TACSTD2/FGF10/RAB13/SPARC/RAB25/SEMA4A/TBXA2R/GRHL2/ADAMTS9/RIN2/FGFBP1/SOX9/ROCK2/DPP4/BMP4/ITGB1/GPX1/FERMT1/KDR/PTPN11/MMRN2	26
GO:0060562	epithelial tube morphogenesis	28/621	299/13419	0.000316356432485141	0.0187943000773792	0.0171948096780483	GREM1/GRHL3/TACSTD2/FGF10/RARG/ESR1/OVOL2/DEAF1/FMN1/SIX2/GRHL2/PAX8/FGFR2/PHB2/FZD2/IRX1/NOTCH4/SOX9/RASIP1/BMP4/BMP7/GREB1L/WNT2/PODXL/KDR/TIE1/MMRN2/PPP1CA	28
GO:2000027	regulation of animal organ morphogenesis	15/621	117/13419	0.000319437463480484	0.0187943000773792	0.0171948096780483	GREM1/GRHL3/TACSTD2/FGF10/SNAI2/GPC4/PLEKHA4/SIX2/PAX8/PHB2/FZD2/SOX9/BMP4/BMP7/WNT2	15
GO:0030199	collagen fibril organization	10/621	59/13419	0.000337829017421848	0.0193767944095318	0.0177277307838447	GREM1/FMOD/LUM/CRTAP/DPT/TLL1/COL1A2/FKBP10/LOX/COL1A1	10
GO:0007423	sensory organ development	39/621	473/13419	0.000338360787128029	0.0193767944095318	0.0177277307838447	SERPINF1/TGFB3/GJB2/ANP32B/GJB6/GRHL3/MFAP2/FGF10/ALDH1A3/RARG/WNT7B/SMCHD1/ESRP1/MAFB/MYCL/TFAP2A/OTX1/MFAP5/SIX2/GRHL2/RPL38/THY1/PAX8/FGFR2/FZD2/INSIG1/SOX9/SLC7A11/BMP4/NAGLU/NECTIN1/BMP7/SOX1/WNT2/FOXF2/CRYBG3/KDR/TCIRG1/PTPN11	39
GO:0061458	reproductive system development	32/621	362/13419	0.00034425464910396	0.019420502522134	0.0177677191140558	SERPINF1/MMP2/GJB2/BASP1/SERPINB5/TP63/FGF10/RARG/RAB13/ESR1/WNT7B/SDC1/OVOL2/ANG/LDOC1/GRHL2/NUPR1/LFNG/PCDH12/FGFR2/BSG/SOX9/BMP4/BMP7/GREB1L/WNT2/FOXF2/KDR/SOX15/PTPN11/DLX3/CRIP1	32
GO:0048048	embryonic eye morphogenesis	7/621	30/13419	0.000352222520566534	0.019420502522134	0.0177677191140558	MFAP2/ALDH1A3/RARG/TFAP2A/MFAP5/BMP7/FOXF2	7
GO:0035107	appendage morphogenesis	16/621	131/13419	0.000357210640104444	0.019420502522134	0.0177677191140558	CRABP2/GREM1/TP63/FGF10/RARG/TFAP2A/FMN1/LNPK/GRHL2/FGFR2/SOX9/BMP4/BMP7/PCSK5/HOXC10/BPNT2	16
GO:0035108	limb morphogenesis	16/621	131/13419	0.000357210640104444	0.019420502522134	0.0177677191140558	CRABP2/GREM1/TP63/FGF10/RARG/TFAP2A/FMN1/LNPK/GRHL2/FGFR2/SOX9/BMP4/BMP7/PCSK5/HOXC10/BPNT2	16
GO:0072273	metanephric nephron morphogenesis	6/621	22/13419	0.000378575380568685	0.0203247657442813	0.0185950249429329	GREM1/FMN1/SIX2/PAX8/SOX9/BMP4	6
GO:0048562	embryonic organ morphogenesis	25/621	258/13419	0.00039238598625098	0.0208061458141723	0.0190354371237805	TGFB3/GJB6/GRHL3/MFAP2/FGF10/ALDH1A3/RARG/MAFB/OVOL2/TFAP2A/OTX1/MFAP5/SIX2/GRHL2/RPL38/PAX8/FGFR2/FZD2/INSIG1/SOX9/HOXB6/BMP4/NAGLU/BMP7/FOXF2	25
GO:0090130	tissue migration	26/621	274/13419	0.000418367188592453	0.021913257012251	0.0200483275355023	SERPINF1/DCN/FAT2/SMOC2/GREM1/TACSTD2/FGF10/RAB13/SPARC/RAB25/SEMA4A/TBXA2R/GRHL2/ADAMTS9/RIN2/FGFBP1/SOX9/ROCK2/DPP4/BMP4/ITGB1/GPX1/FERMT1/KDR/PTPN11/MMRN2	26
GO:0042060	wound healing	32/621	367/13419	0.000437943004460299	0.0226622313753853	0.0207335603760342	CD44/TGFB3/DSP/SMOC2/GRHL3/FGF10/SLC12A2/SDC1/FN1/TBXA2R/LNPK/ENTPD1/DGKD/ARL8B/IGF1/FGFR2/ERBB3/NOTCH4/TIMP1/FKBP10/LOX/SLC7A11/SERPINB2/ITGB1/GNAQ/GPX1/COL1A1/FERMT1/KDR/FBLN1/ADAMTS13/DGKQ	32
GO:0022612	gland morphogenesis	14/621	108/13419	0.000446908632151953	0.022827172801434	0.0208844644489316	MMP2/TGFB3/SERPINB5/TP63/FGF10/RARG/ESR1/SNAI2/FGFR2/PHB2/SOX9/BMP4/BMP7/CRIP1	14
GO:0009611	response to wounding	39/621	480/13419	0.000452627471465402	0.022827172801434	0.0208844644489316	CD44/MMP2/TGFB3/DSP/SMOC2/GRHL3/FGF10/SLC12A2/RTN4R/SDC1/PTPRF/FN1/AIF1/NREP/TBXA2R/LNPK/ENTPD1/DGKD/ARL8B/IGF1/SCARF1/FGFR2/PHB2/ERBB3/NOTCH4/TIMP1/FKBP10/LOX/SLC7A11/SERPINB2/ITGB1/GNAQ/GPX1/COL1A1/FERMT1/KDR/FBLN1/ADAMTS13/DGKQ	39
GO:0072175	epithelial tube formation	16/621	134/13419	0.000461623056025408	0.022827172801434	0.0208844644489316	GREM1/GRHL3/FGF10/RARG/OVOL2/DEAF1/GRHL2/PAX8/FGFR2/FZD2/IRX1/SOX9/BMP4/BMP7/PODXL/MMRN2	16
GO:0016525	negative regulation of angiogenesis	12/621	84/13419	0.000462389763381784	0.022827172801434	0.0208844644489316	SERPINF1/DCN/ISM1/SLC12A2/CREB3L1/SPARC/SEMA4A/ADAMTS9/KLF2/ROCK2/SPINK5/TIE1	12
GO:0060348	bone development	21/621	203/13419	0.000475776435032524	0.023221133959826	0.0212448975116796	ZNF385A/BGN/TGFB3/GREM1/RARG/TFAP2A/SMAD1/IGF1/SULF2/FGFR2/INSIG1/SFRP4/SOX9/LOX/BMP4/SPNS2/ACP5/COL1A1/KDR/PTPN11/BPNT2	21
GO:0061180	mammary gland epithelium development	10/621	62/13419	0.000510392961284256	0.0246307614462458	0.0225345585390198	IRF6/FGF10/ESR1/WNT7B/DEAF1/FGFR2/PHB2/MGMT/GPX1/WNT2	10
