gene_id	gene_name	log2FadultChange	log2CPM	baseMean	description
LOC101290411	LRRC20	3.27	5.41	NA	leucine rich repeat containing 20
LOC101275925	PPL	3.23	10.42	NA	periplakin
LOC101283640	DLGAP3	-3.27	3.15	24.41	DLG associated protein 3
LOC101276775	EVPL	4.18	9.26	NA	envoplakin
LOC101272448	KRT80	5.48	5.68	NA	keratin 80
LOC101275663	KIF21B	2.71	4.68	NA	kinesin family member 21B
LOC101280235	METTL7A	2.35	7.21	211.98	methyltransferase like 7A
LOC101273672	TTLL7	-2.12	3.54	37.65	tubulin tyrosine ligase like 7
C5H3orf70	C5H3orf70	2.02	4.23	82.57	chromosome 5 C3orf70 homolog
LOC101287858	RGS12	2.33	7.25	NA	regulator of G protein signaling 12
LOC101273543	DNAH5	-3.88	2.51	13.06	dynein axonemal heavy chain 5
LOC101276060	MAP3K7CL	-2.42	1.65	7.59	MAP3K7 C-terminal like
LOC101274454	AK3	2.44	9.76	3147.82	adenylate kinase 3
LOC101269783	NPTX2	3.07	3.93	NA	neuronal pentraxin 2
LOC105748501	LOC105748501	4.36	4.39	71.7	DNA dC->dU-editing enzyme APOBEC-3G-like
LOC101283105	ARHGEF18	2.47	7.18	NA	Rho/Rac guanine nucleotide exchange factor 18
LOC101288042	MUC21	4.91	6.04	NA	mucin 21, cell surface associated
LOC101275804	EPN3	2.46	4.13	NA	epsin 3
LOC105748632	LOC105748632	3.9	2.84	NA	myosin light chain 1, skeletal muscle isoform-like
LOC125961507	LOC125961507	5.1	6.56	NA	protein-glutamine gamma-glutamyltransferase E-like
LOC101274387	LOC101274387	3.92	3.85	NA	keratin, type I cytoskeletal 42-like
LOC101288377	MYH14	2.55	8.08	NA	myosin heavy chain 14
LOC101276457	EPS8L2	2.31	8.25	NA	EPS8 like 2
LOC101275005	KCNMB1	-3.25	1.29	5.93	potassium calcium-activated channel subfamily M regulatory beta subunit 1
LOC101270593	MYO18B	-2.63	2.74	21.76	myosin XVIIIB
LOC101281127	CDC42BPG	1.89	7.2	NA	CDC42 binding protein kinase gamma
LOC101290459	ZNF296	2.94	4.1	NA	zinc finger protein 296
LOC101276301	KRT16	2.95	7.34	9494.82	keratin, type I cytoskeletal 16
LOC101278796	CDH19	-3.29	1.74	11.46	cadherin 19
LOC101278007	HOMER2	1.8	5.07	96.28	homer scaffold protein 2
LOC101276616	EPHB3	1.67	5.2	87.11	EPH receptor B3
LOC101278025	SAMD10	2.22	3.04	30.31	sterile alpha motif domain containing 10
LOC125960360	LOC125960360	2.77	10.07	2973.78	pre-mRNA 3'-end-processing factor FIP1-like
