gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101280195	TMEM79	4.73	4.33	69.49	transmembrane protein 79
LOC101277159	SIX2	4.98	3.73	58.7	SIX homeobox 2
LOC101274655	LAD1	4.57	6.51	263.61	ladinin 1
LOC101288863	TGM1	3.82	5.89	213.39	transglutaminase 1
LOC101284151	LOC101284151	7.66	6.15	240.63	annexin A8
LOC101276217	FAM180B	-2.85	5.84	250.09	family with sequence similarity 180 member B
LOC101282198	SNCB	-4.38	0.97	7.03	synuclein beta
LOC101269212	MAPK13	3.53	4.26	75.46	mitogen-activated protein kinase 13
LOC101281389	FGF10	-2.63	4.1	63.18	fibroblast growth factor 10
LOC101282952	LOC101282952	-2.79	8.28	1120.34	histone H2A type 2-C
LOC101283353	ISLR2	3.72	4.99	112.11	immunoglobulin superfamily containing leucine rich repeat 2
LOC101284691	LOC101284691	8.25	3.43	40.88	L-threonine 3-dehydrogenase, mitochondrial
LOC101276523	GALNT6	4.55	4.61	81.64	polypeptide N-acetylgalactosaminyltransferase 6
LOC101277037	SEMA4B	2.53	5.42	144	semaphorin 4B
LOC101280703	FGFBP1	6.78	4.77	87.3	fibroblast growth factor binding protein 1
LOC101287998	TP63	6.81	6.42	NA	tumor protein p63
LOC101282054	KLK10	6.72	4.26	NA	kallikrein related peptidase 10
LOC101279564	RAB38	4.05	5.22	146.39	RAB38, member RAS oncogene family
LOC101288207	CSMD3	-6.41	2.46	21.67	CUB and Sushi multiple domains 3
LOC101284427	GRID2	-8.48	1.73	16.48	glutamate ionotropic receptor delta type subunit 2
LOC101283803	RAB25	5.75	4.02	47.38	RAB25, member RAS oncogene family
LOC101281898	LGALS7B	4.89	6.89	368.27	galectin-7
LOC101277552	LRRTM4	-3.55	2.25	20.85	leucine rich repeat transmembrane neuronal 4
LOC101280846	LOC101280846	-4.67	2.81	28.73	elongation factor 1-alpha 1-like
LOC101278377	ZNF185	3.15	4.42	71.06	zinc finger protein 185 with LIM domain
LOC101271116	TTC22	4.4	4.28	74.11	tetratricopeptide repeat domain 22
LOC101289727	DSG3	6.74	7.53	956.77	desmoglein 3
LOC101275670	TRPV3	3.84	5.56	151.23	transient receptor potential cation channel subfamily V member 3
LOC101270457	ESPN	-3.14	3.29	36.76	espin
LOC101282547	KLK6	5.56	3.34	29.01	kallikrein-6
LOC101289966	DSG1	6.2	6.19	280.93	desmoglein 1
LOC101275398	EGFR	2.19	6.64	422.67	epidermal growth factor receptor
LOC101286568	SPARC	-1.85	NA	16996.22	secreted protein acidic and cysteine rich
LOC101289765	UGT8	5.36	3.3	38.32	UDP glycosyltransferase 8
LOC101270104	VSIG8	3.92	5.33	158.43	V-set and immunoglobulin domain containing 8
LOC101287010	GJB2	6.09	6.34	210.71	gap junction protein beta 2
