gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101276301	KRT16	-4.39	10.1	17373.78	keratin, type I cytoskeletal 16
LOC101282952	LOC101282952	-3.29	8.8	1193.74	histone H2A type 2-C
NKY04_mgp12	ND2	-3.78	14.03	41992.77	NA
LOC101283201	LOC101283201	-4.83	7.75	594.67	histone H2A type 2-B
LOC101288476	OTOR	-5.37	4.36	57.48	otoraplin
LOC101283232	AKR1D1	-4.61	6.51	212.38	aldo-keto reductase family 1 member D1
LOC117202352	LOC117202352	-4.48	8.55	809.09	protein C19orf12 homolog
LOC101271871	MRPS5	-4.93	8.59	808.33	mitochondrial ribosomal protein S5
LOC101274088	TMEM39B	-4.21	8.91	1021.15	transmembrane protein 39B
LOC101283399	TCEAL3	-4.11	6.63	250.53	transcription elongation factor A like 3
LOC101280235	METTL7A	-4.05	8.71	980.5	methyltransferase like 7A
LOC101278814	ATP6V0E1	-3.82	8	636.31	ATPase H+ transporting V0 subunit e1
LOC101290359	XIAP	-4.17	8.68	1102.7	X-linked inhibitor of apoptosis
LOC117197868	LOC117197868	-4.3	7.29	359.8	emerin-like
LOC117195386	LOC117195386	-4.12	10.61	3504.1	zinc finger protein 154-like
LOC101274928	CDADC1	-4.66	8.18	544.08	cytidine and dCMP deaminase domain containing 1
ARSL	ARSL	-4.34	6.74	283.82	arylsulfatase L
LOC101270472	LEMD3	-3.47	7.7	473.67	LEM domain containing 3
LOC101273279	SSMEM1	-4.72	5.67	108.5	serine rich single-pass membrane protein 1
LOC101271351	DNM3	-4.08	9.03	1276.15	dynamin 3
LOC101271503	IFT22	-5.28	8.01	542.46	intraflagellar transport 22
LOC101283663	NMNAT1	-4.08	5.48	102.94	nicotinamide nucleotide adenylyltransferase 1
LOC105748413	LOC105748413	-4.39	6.63	229.14	putative UPF0607 protein ENSP00000382826
LOC101281309	CHRNE	-3.85	6.94	287.49	cholinergic receptor nicotinic epsilon subunit
LOC101286580	CSF3	-4.09	7.04	265.29	colony stimulating factor 3
SELENOT	SELENOT	-3.49	8.09	618.67	selenoprotein T
LOC101270224	PTPN9	-3.56	8.13	613.19	protein tyrosine phosphatase non-receptor type 9
LOC101272477	TAF13	-4.07	5.37	121.57	TATA-box binding protein associated factor 13
LOC101275009	UPK2	-4.71	6.23	178.44	uroplakin 2
LOC101283572	GLO1	-3.7	7.99	570.31	glyoxalase I
LOC101272869	LOC101272869	-3.85	5.57	119.83	cytochrome c-like
LOC101286093	AKAP10	-3.31	8.55	841.75	A-kinase anchoring protein 10
LOC101274987	STX8	-3.49	6.03	173.47	syntaxin 8
LOC125961092	LOC125961092	-3.89	8.35	843.6	translation initiation factor IF-2-like
LOC101272957	YIPF6	-3.16	8.18	729.08	Yip1 domain family member 6
LOC101279083	UNC119B	-3.35	8.44	806.31	unc-119 lipid binding chaperone B
LOC101274842	TMEM59	-2.75	6.94	295.41	transmembrane protein 59
LOC101280487	KLRG2	-4	5.47	253.5	killer cell lectin like receptor G2
LOC101279173	METTL25	-3.43	6.91	337.1	methyltransferase like 25
LOC101283808	RNF24	-2.76	7.51	451.25	ring finger protein 24
LOC101280424	LMNB1	-2.57	5.42	107.31	lamin B1
LOC117195895	LOC117195895	-5.05	8.61	9348.02	translation initiation factor IF-2-like
LOC101285160	VMO1	-4.03	3.96	39.8	vitelline membrane outer layer 1 homolog
LOC101289431	TMEM218	-3.41	5.18	118.32	transmembrane protein 218
LOC101269491	GDPGP1	-3.07	5.37	96.21	GDP-D-glucose phosphorylase 1
LOC101288392	EID3	-3.03	5.83	202.27	EP300 interacting inhibitor of differentiation 3
CDIN1	CDIN1	-4.84	13.98	35283.75	CDAN1 interacting nuclease 1
LOC101283848	ITGB1BP2	-3.4	6.62	222.89	integrin subunit beta 1 binding protein 2
LOC117201810	LOC117201810	-4.8	7.85	5520	cytochrome P450 2A13-like
LOC101279179	SYDE2	-4.3	9.33	1929.98	synapse defective Rho GTPase homolog 2
LOC117196525	LOC117196525	-4.53	14.56	53161.03	uncharacterized LOC117196525
LOC125965573	LOC125965573	-4.92	5.98	246.46	uncharacterized LOC125965573
LOC101276014	ARHGEF19	-3.08	8.4	1255.16	Rho guanine nucleotide exchange factor 19
LOC101282947	MX1	3.69	3.75	28.63	MX dynamin like GTPase 1
