gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101275706	MUC2	-9.01	2.99	40.72	mucin 2, oligomeric mucus/gel-forming
LOC101276760	NEFM	-7.9	2.29	17.75	neurofilament medium chain
LOC101275290	PDE10A	-4.97	2.82	26.77	phosphodiesterase 10A
LOC101275394	EYS	-6.65	2.71	24.53	eyes shut homolog
LOC101274363	DNAH7	-3.25	4.01	51.99	dynein axonemal heavy chain 7
LOC101275307	MUC19	-5.14	3.62	44.52	mucin 19, oligomeric
LOC101274623	NRXN3	-5.11	2.67	22.91	neurexin 3
LOC101279202	CSMD2	-6.1	3.43	47.43	CUB and Sushi multiple domains 2
LOC101283832	CNTNAP3	-7.2	2.3	20.39	contactin-associated protein-like 3
LOC101272714	KCNH5	-5.64	2.76	27.24	potassium voltage-gated channel subfamily H member 5
LOC101282703	LOC101282703	-7	2.81	25.53	histone-lysine N-methyltransferase SETD2-like
C6H8orf74	C6H8orf74	-8.09	3.03	27.63	chromosome 6 C8orf74 homolog
LOC101278119	CHIA	-8.38	2.24	24	acidic mammalian chitinase
LOC101279927	LRRC7	-6.81	2.46	28.85	leucine rich repeat containing 7
LOC125960667	LOC125960667	-5.6	3.11	35.05	uncharacterized LOC125960667
LOC101275495	LOXHD1	-8.1	3.22	37.21	lipoxygenase homology PLAT domains 1
LOC101272655	SPTA1	-3.86	3.3	35.53	spectrin alpha, erythrocytic 1
LOC101289213	ABCC12	-8.47	1.82	19.48	ATP binding cassette subfamily C member 12
LOC101277806	CRABP1	-3.02	5.28	132.35	cellular retinoic acid binding protein 1
LOC101279690	RSPH1	-7.66	2.25	18.11	radial spoke head component 1
LOC101284337	GRM7	-8.53	2.44	20.48	glutamate metabotropic receptor 7
LOC101271613	FAM186A	-8.5	2.24	17.77	family with sequence similarity 186 member A
LOC101285003	DISP3	-8.02	2.69	24.38	dispatched RND transporter family member 3
LOC101279038	SCN1A	-7.16	2.66	24.39	sodium channel protein type 1 subunit alpha
LOC125964539	LOC125964539	-5.27	3.41	43.78	uncharacterized LOC125964539
LOC101278164	POU2AF1	-8.52	1.86	18.17	POU class 2 homeobox associating factor 1
LOC125964844	LOC125964844	-5.38	6.05	551.47	uncharacterized LOC125964844
LOC101271143	LOC101271143	-5.62	3.87	51.55	olfactory receptor 6B2
LOC101270395	ST18	-8.56	2.45	20.48	ST18 C2H2C-type zinc finger transcription factor
LOC117197274	LOC117197274	-4.81	3.81	48.68	40S ribosomal protein S27-like
LOC101277354	MYT1L	-8.36	2.9	27.49	myelin transcription factor 1 like
LOC101282286	LOC101282286	-8.5	2.27	17.52	dnaJ homolog subfamily C member 14-like
LOC101283631	GRM6	-7.46	2.07	16.3	glutamate metabotropic receptor 6
LOC101282534	KCNU1	-7.6	2.43	19.61	potassium calcium-activated channel subfamily U member 1
LOC101269964	AQP4	-7.17	2.34	18.97	aquaporin 4
LOC101278839	CDH8	-7.88	1.79	13.39	cadherin 8
LOC101280257	LRRTM3	-7.12	3.08	47.3	leucine rich repeat transmembrane neuronal 3
LOC101281468	IGSF1	-6.08	2.79	25.72	immunoglobulin superfamily member 1
LOC101282655	CPLX2	-8.41	2.4	21.74	complexin 2
LOC101276941	LOC101276941	-7.97	1.64	15.06	signal peptidase complex catalytic subunit SEC11A-like
LOC101283317	DNAH12	-3.6	4.11	56.98	dynein axonemal heavy chain 12
LOC101275152	SORCS1	-4.9	3.71	42.82	sortilin related VPS10 domain containing receptor 1
LOC101284833	LOC101284833	-7.86	3.36	36.72	olfactory receptor 10AC1-like
LOC101280669	KCNJ16	-6.25	3.02	36.27	potassium inwardly rectifying channel subfamily J member 16
LOC101289931	NCAM2	-6.94	2.83	25.74	neural cell adhesion molecule 2
LOC101280480	SHC3	-9.08	2.62	22.85	SHC adaptor protein 3
LOC117199770	LOC117199770	-6.96	2.42	24.83	hyaluronidase-like
LOC101277558	SLC12A3	-6.31	2.58	22.11	solute carrier family 12 member 3
LOC101279619	TDRD12	-4.71	2.97	31.06	tudor domain containing 12
LOC117197676	LOC117197676	-4.98	3.42	49.52	membrane cofactor protein-like
LOC101269326	NCAN	-8.35	2.37	18.29	neurocan
LOC101271075	USH2A	-7.52	3.83	57.17	usherin
LOC101273956	UPF3A	-3.9	4.05	55.14	UPF3A regulator of nonsense mediated mRNA decay
LOC101281665	AJAP1	-5.89	2.36	28.64	adherens junctions associated protein 1
LOC101289210	TMPRSS15	-8.05	1.97	14.11	transmembrane serine protease 15
LOC101277121	IL18RAP	-8.22	2.17	18.32	interleukin 18 receptor accessory protein
LOC101277054	TRPM8	-8.45	2.76	25.96	transient receptor potential cation channel subfamily M member 8
LOC101275194	TOPAZ1	-7.76	2.08	16.02	testis and ovary specific TOPAZ 1
LOC101277722	KIAA2012	-7.52	2.68	23.51	KIAA2012 ortholog
LOC117197715	LOC117197715	-5.27	3.98	122.44	uncharacterized LOC117197715
LOC101287704	LOC101287704	-7.83	2.28	17.5	filaggrin-2-like
LOC101283705	ABCB5	-7.66	1.96	13.94	ATP binding cassette subfamily B member 5
LOC101287620	GAD1	-6.72	2.09	15.85	glutamate decarboxylase 1
LOC101271731	FCRL3	-8.81	2.23	21.01	Fc receptor like 3
LOC101278877	CACNG8	-7.65	2.46	31.57	calcium voltage-gated channel auxiliary subunit gamma 8
LOC101279142	CFAP74	-8.14	2.63	23.39	cilia and flagella associated protein 74
LOC101285470	ATP13A4	-4.17	3.38	37.9	ATPase 13A4
STYXL2	STYXL2	-6.54	2.58	21.63	serine/threonine/tyrosine interacting like 2
LOC101277185	MRAP2	-6.68	2.49	22.92	melanocortin 2 receptor accessory protein 2
LOC101273859	RBFOX1	-6.35	2.41	25.09	RNA binding fox-1 homolog 1
LOC101289526	TMEM72	-6.65	2.18	26.46	transmembrane protein 72
LOC125962893	LOC125962893	-5.85	3.85	53.19	endogenous retrovirus group K member 6 Env polyprotein-like
LOC101281736	DMGDH	-6.93	2.04	14.58	dimethylglycine dehydrogenase
LOC101286864	MYO3B	-8.01	2.49	23.8	myosin IIIB
C14H10orf71	C14H10orf71	-7.26	2.26	18.37	chromosome 14 C10orf71 homolog
LOC101272296	OFCC1	-8.11	1.77	12.25	uncharacterized LOC101272296
LOC101279573	CNTN3	-6.38	2.29	18.68	contactin 3
LOC101279992	RAD51AP2	-6.39	2.78	30.88	RAD51 associated protein 2
LOC101284688	SCN10A	-4.82	3.02	27.63	sodium voltage-gated channel alpha subunit 10
LOC101274713	POU6F2	-7.57	2.11	20.92	POU class 6 homeobox 2
LOC101284042	VNN2	-6.3	2.52	23.31	vanin 2
LOC101271939	SECTM1	-8.6	2.95	27.84	secreted and transmembrane 1
LOC101283906	PPP1R3A	-7.78	2.52	22.75	protein phosphatase 1 regulatory subunit 3A
LOC101277069	GRIK1	-6.74	1.9	14.72	glutamate ionotropic receptor kainate type subunit 1
LOC101287069	ANKRD34C	-6.51	2.14	17.8	ankyrin repeat domain 34C
LOC101277536	PPFIA2	-3.83	2.99	26.75	PTPRF interacting protein alpha 2
LOC101276756	EPO	-7.97	2.52	20.57	erythropoietin
LOC101287408	CDH18	-6.41	2.08	14.85	cadherin 18
LOC101277236	WDR64	-6.14	1.26	9.31	WD repeat domain 64
LOC101282182	ATP8A2	-8.07	2.4	19.93	ATPase phospholipid transporting 8A2
LOC101278094	F11	-7.39	1.35	9.87	coagulation factor XI
LOC101277584	SV2C	-7.23	3.01	30.52	synaptic vesicle glycoprotein 2C
LOC101287665	CUX2	-4.84	3.08	30.64	cut like homeobox 2
LOC101276125	MYO3A	-8.23	1.71	15.55	myosin IIIA
LOC125963891	LOC125963891	-5.15	3.95	64.49	putative POM121-like protein 1
LOC101278368	ADCY1	-9.14	2.55	28.02	adenylate cyclase 1
LOC101288463	OGDHL	-7.78	1.51	10.95	oxoglutarate dehydrogenase L
LOC101285913	PLCXD3	-6.3	3.12	30.91	phosphatidylinositol specific phospholipase C X domain containing 3
LOC101275793	KCNG4	-7.56	2.21	23.42	potassium voltage-gated channel modifier subfamily G member 4
LOC101285406	TDRD1	-7.11	2.25	17.45	tudor domain containing 1
LOC101273475	CLEC17A	-6.1	2.88	32.74	C-type lectin domain containing 17A
LOC101272240	SLC14A1	-7.77	1.72	11.12	solute carrier family 14 member 1 (Kidd blood group)
LOC125964790	LOC125964790	-8.06	1.61	12.1	spermatogenesis-associated protein 31A6-like
LOC101280680	MOV10L1	-8.25	2.21	16.8	Mov10 like RISC complex RNA helicase 1
LOC101273089	PCDH20	-6.14	2.49	20.99	protocadherin 20
LOC125960840	LOC125960840	-9.52	6.29	395.2	uncharacterized LOC125960840
LOC101287552	GYS2	-7.58	1.87	14.41	glycogen synthase 2
LOC117195569	REELD1	-8.41	2.04	17.89	reeler domain containing 1
LOC125965173	LOC125965173	-6.89	2.81	29.68	mucin 5AC, oligomeric mucus/gel-forming
LOC101271249	LOC101271249	-6.65	1.89	12.97	heat shock protein HSP 90-beta-like
LOC101284846	DPP10	-7.39	1.76	13.12	dipeptidyl peptidase like 10
LOC101287801	ITGAM	-5.52	2.25	18.47	integrin subunit alpha M
LOC125963872	LOC125963872	-5.62	2.83	26.19	putative POM121-like protein 1
LOC101274962	GPR179	-5.96	3.49	39.36	G protein-coupled receptor 179
LOC101280223	ATP1A3	-5.93	2.01	20.12	ATPase Na+/K+ transporting subunit alpha 3
LOC101278233	ANKS1B	-4.66	2.59	22.1	ankyrin repeat and sterile alpha motif domain containing 1B
LOC101285451	NOL4	-7.98	2.08	16.71	nucleolar protein 4
LOC101272900	KCNQ2	-8.32	1.74	16.42	potassium voltage-gated channel subfamily Q member 2
LOC101284465	OTOL1	-4.05	2.79	23.67	otolin 1
LOC101275400	CLVS2	-4.85	2.67	41.07	clavesin 2
LOC117202213	LOC117202213	-7.19	1.6	11.53	paraneoplastic antigen Ma1-like
LOC101276525	ADAMTS16	-7.04	2.15	15.46	ADAM metallopeptidase with thrombospondin type 1 motif 16
LOC101276634	PRKCQ	-4.78	2.77	23.68	protein kinase C theta
LOC101279162	MUC16	-6.68	3.46	72.94	mucin-16
LOC101281280	PCDH11X	-6.9	2.26	18.31	protocadherin 11 X-linked
LOC101279656	SLITRK1	-8.32	1.82	15.04	SLIT and NTRK like family member 1
LOC125964906	LOC125964906	-7.87	2.49	22.5	spermatogenesis-associated protein 31D4-like
LOC101276333	NR1H4	-8.02	2.14	23.13	nuclear receptor subfamily 1 group H member 4
LOC101282881	THSD7B	-4.62	3.15	30.31	thrombospondin type 1 domain containing 7B
LOC101282460	LOC101282460	-5.91	2.07	15.29	importin-7-like
LOC125965210	LOC125965210	-7.02	2.1	17.56	uncharacterized LOC125965210
LOC101286371	VWA5B1	-8.29	2.25	17.86	von Willebrand factor A domain containing 5B1
LOC101277878	FGA	-8.47	2.05	14.73	fibrinogen alpha chain
LOC101272176	BAI3	-6.06	2.3	18.6	adhesion G protein-coupled receptor B3
LOC101280012	PRKG2	-7.13	1.68	12.96	protein kinase cGMP-dependent 2
LOC101290242	DPP6	-7.01	2.13	18.33	dipeptidyl peptidase like 6
LOC101289120	F2	-5.26	2.15	14.87	coagulation factor II, thrombin
LOC101270526	GRIN2A	-7.41	3.05	33.41	glutamate ionotropic receptor NMDA type subunit 2A
LOC101286253	WNK3	-6.36	2.38	19.46	WNK lysine deficient protein kinase 3
LOC101288365	GPR26	-8.56	1.98	19.76	G protein-coupled receptor 26
LOC101274865	LOC101274865	-5.92	1.88	12.56	guanylate cyclase D-like
LOC101270218	TRIM55	-7.73	1.23	9.99	tripartite motif containing 55
LOC101282633	CFAP47	-8.32	2.46	22.84	cilia and flagella associated protein 47
LOC101276994	LRP2	-3.6	4.38	52.11	LDL receptor related protein 2
LOC101271767	SIDT1	-4.7	2.41	20.84	SID1 transmembrane family member 1
LOC101271964	NYAP2	-8.36	1.77	16.23	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
LOC101269393	RYR3	-4.92	4.35	77.25	ryanodine receptor 3
LOC125961207	LOC125961207	-7.81	1.72	12.55	nitric oxide synthase, brain-like
LOC101274057	CCDC158	-7.64	1.26	9.13	coiled-coil domain containing 158
LOC101284970	NEFH	-6.19	2.49	19.4	neurofilament heavy chain
LOC101273932	TMC2	-6.22	2.51	20.07	transmembrane channel like 2
LOC101270197	MLIP	-5.58	3.37	38.07	muscular LMNA interacting protein
LOC125960842	LOC125960842	-10.37	5.34	238	uncharacterized LOC125960842
LOC125961814	LOC125961814	-4.29	4.39	224.26	endogenous retrovirus group K member 10 Gag polyprotein-like
LOC101278300	GLRB	-5.37	2.1	15.16	glycine receptor beta
LOC101280774	ADGRG4	-8.96	2.57	23.06	adhesion G protein-coupled receptor G4
LOC101289287	MYT1	-6.89	3.19	36.23	myelin transcription factor 1
LOC101282788	CDHR2	-7.19	2.4	19.91	cadherin related family member 2
LOC101276569	SIM1	-7.2	1.92	14.4	SIM bHLH transcription factor 1
LOC101279866	CNTNAP2	-4.5	2.94	28.56	contactin associated protein 2
LOC101271710	ARMC3	-7.67	1.95	14.4	armadillo repeat containing 3
LOC101289288	BRDT	-7.51	1.44	12.63	bromodomain testis associated
LOC101290098	MYH7	-7.46	2.29	21.64	myosin-7
LOC101279221	CDH22	-5	2.85	27.74	cadherin 22
LOC101280492	MYO16	-7.26	2.45	21.31	myosin XVI
LOC101278058	MYH13	-6.03	2.69	25.35	myosin-13
LOC125965314	LOC125965314	-4.56	3.13	30.76	uncharacterized LOC125965314
LOC125963064	LOC125963064	-6.7	1.66	12.29	HIV Tat-specific factor 1-like
LOC101286057	LOC101286057	-6.95	2.2	28.71	fibrous sheath-interacting protein 2-like
LOC101271066	LRRC37A2	-4.62	3.02	44.39	leucine-rich repeat-containing protein 37A2
LOC101273427	XCR1	-8.75	2.27	17.93	X-C motif chemokine receptor 1
LOC101277422	LOC101277422	-6.29	2.35	18.65	heterogeneous nuclear ribonucleoprotein A3-like
LOC101269219	STAB2	-4.01	4	55.62	stabilin 2
LOC101279209	GRM4	-5.36	3.14	31.91	glutamate metabotropic receptor 4
LOC101270042	PLPPR1	-6.75	1.6	11.44	phospholipid phosphatase related 1
DNAI3	DNAI3	-8.32	1.9	14.51	dynein axonemal intermediate chain 3
LOC101274385	LGSN	-7.67	1.29	8.6	lengsin, lens protein with glutamine synthetase domain
LOC105747829	RHOH	-6.28	2.62	38.21	ras homolog family member H
LOC101290222	CNTNAP5	-5.35	2.95	28.27	contactin associated protein family member 5
LOC101276364	EPHB1	-6.17	2.22	17.24	EPH receptor B1
LOC101275270	SCN8A	-6.7	3.34	34.86	sodium voltage-gated channel alpha subunit 8
LOC101286619	DRAXIN	-7.64	1.46	11.55	dorsal inhibitory axon guidance protein
LOC101272424	PKHD1	-4.46	3.12	35.71	PKHD1 ciliary IPT domain containing fibrocystin/polyductin
LOC117203052	LOC117203052	-7.93	1.52	11.69	transcription initiation factor TFIID subunit 11-like
LOC101271294	TRIM71	-5.83	2.57	25.68	tripartite motif containing 71
LOC101286542	MYH15	-3.83	5.04	375.32	myosin heavy chain 15
LOC101289593	BCL2L14	-5.36	2.12	15.03	BCL2 like 14
LOC101269859	TRIM9	-6.3	1.58	10.65	tripartite motif containing 9
LOC105748242	TDRD15	-6.39	1.81	12.45	tudor domain containing 15
LOC101270593	MYO18B	-3.43	3.71	46.2	myosin XVIIIB
LOC101274678	RNASE10	-4.81	2.08	15.14	ribonuclease A family member 10 (inactive)
LOC101272582	SLC12A1	-6.34	1.69	12.11	solute carrier family 12 member 1
LOC101285033	INSL5	-5.6	2.56	21.46	insulin like 5
LOC101274597	KCNH8	-7.14	1.77	13.12	potassium voltage-gated channel subfamily H member 8
LOC101278434	SMC1B	-6.75	2.19	15.96	structural maintenance of chromosomes 1B
LOC101282520	EYA4	-6.02	2.32	18.31	EYA transcriptional coactivator and phosphatase 4
LOC101276553	TSHR	-5.48	2.36	18.31	thyroid stimulating hormone receptor
C14H10orf90	C14H10orf90	-7.6	1.78	12.33	chromosome 14 C10orf90 homolog
LOC101278314	SLC5A11	-7.03	1.63	10.88	solute carrier family 5 member 11
LOC125961717	LOC125961717	-5.19	2.99	28.87	histone-lysine N-methyltransferase SETD2-like
LOC101288229	FHAD1	-5	2.6	22.27	forkhead associated phosphopeptide binding domain 1
LOC101271982	FCRL4	-7.74	1.37	9.53	Fc receptor like 4
LOC101272137	DLGAP2	-7.4	2.22	17.79	DLG associated protein 2
C20H16orf78	C20H16orf78	-8.6	3.32	44.54	chromosome 20 C16orf78 homolog
LOC101269705	PAH	-7.5	1.06	8.75	phenylalanine hydroxylase
LOC101281572	OPALIN	-7.83	1.33	11.72	oligodendrocytic myelin paranodal and inner loop protein
LOC101276126	LOC101276126	-7.99	1.47	10.9	serine/threonine-protein phosphatase 4 regulatory subunit 3B-like
LOC101285357	SIRPB2	-8.01	1.47	11.39	signal regulatory protein beta 2
LOC101277541	VWC2L	-7.95	1.9	14.9	von Willebrand factor C domain containing 2 like
LOC101278811	DMRTC2	-5.73	2.35	19.98	DMRT like family C2
LOC101286180	ZMAT4	-7.84	1.38	9.49	zinc finger matrin-type 4
LOC117195380	ERBB4	-6.38	1.57	14.42	erb-b2 receptor tyrosine kinase 4
LOC101281655	SPATA16	-7.26	0.9	7.64	spermatogenesis associated 16
LOC101286518	FRMPD4	-7.15	1.53	10.57	FERM and PDZ domain containing 4
LOC101279657	LOC101279657	-7.81	2	17.72	zinc finger protein 883-like
LOC101272416	CACNA1B	-3.42	2.88	25.63	calcium voltage-gated channel subunit alpha1 B
LOC101269448	DMBT1	-5.11	2.53	22.74	deleted in malignant brain tumors 1
LOC101273681	LIN28B	-8.08	1.91	19.11	lin-28 homolog B
LOC101272925	SLC34A2	-6.96	1.35	12.46	solute carrier family 34 member 2
LOC101278319	CFTR	-4.52	2.84	26.94	CF transmembrane conductance regulator
LOC101270930	CFAP100	-7.34	1.8	12.18	cilia and flagella associated protein 100
LOC101283077	RFX4	-6.23	1.63	10.8	regulatory factor X4
LOC101271724	KCNJ6	-8.21	1.82	13.23	potassium inwardly rectifying channel subfamily J member 6
LOC101270978	COL4A3	-5.87	2.33	20.99	collagen type IV alpha 3 chain
LOC101284510	LOC101284510	-8.03	1.71	11.43	guanylate cyclase soluble subunit beta-2-like
LOC125963956	LOC125963956	-6.41	2.9	70.66	uncharacterized LOC125963956
LOC101269286	ZBTB8B	-6.51	2.35	25.07	zinc finger and BTB domain containing 8B
LOC101277758	TNN	-6.61	2.12	16.58	tenascin N
LOC101290044	GABRG2	-7.72	1.63	13.64	gamma-aminobutyric acid type A receptor subunit gamma2
LOC101280226	GRM5	-5.08	2.17	15.71	glutamate metabotropic receptor 5
LOC101273198	LOC101273198	-4.93	4.82	94.31	very-long-chain 3-oxoacyl-CoA reductase-A-like
LOC101274465	STOX1	-4.28	2.62	27.39	storkhead box 1
LOC101273238	CNTN5	-7.36	2.34	20.94	contactin 5
LOC101282036	DRC7	-4.45	2.83	27.08	dynein regulatory complex subunit 7
LOC101270717	DNAJC5B	-6.5	1.53	10.71	DnaJ heat shock protein family (Hsp40) member C5 beta
LOC101271684	NUTM1	-6.35	2.04	14.55	NUT midline carcinoma family member 1
LOC101275824	CACNG6	-8.77	2.38	16.98	calcium voltage-gated channel auxiliary subunit gamma 6
LOC101289046	ACMSD	-6.93	1.48	8.97	aminocarboxymuconate semialdehyde decarboxylase
LOC101276005	RP1L1	-6.59	2.52	20.71	RP1 like 1
LOC101271478	SLA	-4.85	2.15	17.21	Src like adaptor
LOC101287618	EFCAB5	-3.88	3.25	33.68	EF-hand calcium binding domain 5
LOC101286128	SLCO5A1	-4.91	2.4	21.46	solute carrier organic anion transporter family member 5A1
LOC101269737	LOC101269737	-6.34	2.45	19.21	complement C3
LOC101290350	MYH6	-6.59	1.8	13.73	myosin-6
LOC101284619	MACC1	-7.87	1.36	10.98	MET transcriptional regulator MACC1
LOC117199299	LOC117199299	-6.71	2.45	19.37	uncharacterized LOC117199299
LOC125964880	LOC125964880	-7.38	0.97	7.23	spermatogenesis-associated protein 31D1-like
LOC101282334	NELL2	-5.4	1.7	11.67	neural EGFL like 2
LOC101277753	GABRA4	-6.06	1.68	14.64	gamma-aminobutyric acid type A receptor subunit alpha4
LOC101271992	WDR65	-5.42	2.29	19.45	cilia and flagella associated protein 57
LOC117195637	LOC117195637	-3.91	3.68	70.34	uncharacterized LOC117195637
LOC101273315	KSR2	-6.74	2.29	18.74	kinase suppressor of ras 2
LOC101286430	LOC101286430	-6.66	1.02	7.08	protein TEX261-like
LOC101271021	TLR5	-3.52	3.7	49.94	toll like receptor 5
LOC101284868	TMEM196	-7.67	1.94	14.08	transmembrane protein 196
LOC101287019	PAX6	-5.16	2.46	21.84	paired box 6
MYH2	MYH2	-7	3.21	33.35	myosin heavy chain 2
LOC101269269	POU4F2	-7.22	1.55	10.74	POU class 4 homeobox 2
LOC101272020	MROH7	-6.57	2.16	16.96	maestro heat like repeat family member 7
LOC101274612	BMP10	-7.61	1.14	8.15	bone morphogenetic protein 10
LOC101271633	KCNB2	-6.81	2.16	18.91	potassium voltage-gated channel subfamily B member 2
LOC101275703	SLC9A4	-7.5	1.45	10.01	solute carrier family 9 member A4
LOC101283686	LOC101283686	-7.65	1.36	10.4	probable E3 ubiquitin-protein ligase HECTD2
LOC101288502	MUC4	-7.35	2.05	15.18	mucin 4, cell surface associated
LOC101283400	FRMPD2	-6.94	2.14	15.91	FERM and PDZ domain-containing protein 2
LOC125960815	LOC125960815	-7.4	2.37	26.19	endogenous retrovirus group K member 6 Env polyprotein-like
LOC101284467	ENAM	-5.72	1.45	10.76	enamelin
LOC101281978	TIGIT	-6.66	2.3	18.21	T cell immunoreceptor with Ig and ITIM domains
LOC101285525	CAPN8	-7.61	1.47	9.79	calpain-8
LOC101283431	NWD1	-6.55	1.99	13.98	NACHT and WD repeat domain containing 1
LOC101275291	LOC101275291	-6.29	1.74	11.87	olfactory receptor 51E1
LOC101286906	CDH12	-5.92	1.59	15.52	cadherin 12
LOC101286395	FBXO40	-7.6	1.15	8.01	F-box protein 40
LOC101271652	HTR1E	-8.04	1.42	13.33	5-hydroxytryptamine receptor 1E
LOC101270110	BTBD16	-5.35	2.73	31.32	BTB domain containing 16
LOC101285446	GRID1	-4.35	1.86	13.33	glutamate ionotropic receptor delta type subunit 1
LOC101270574	ZDHHC22	-6.84	1.63	11.19	zinc finger DHHC-type palmitoyltransferase 22
LOC101278039	TRIM58	-6.56	1.78	11.79	tripartite motif containing 58
LOC101277757	LOC101277757	-7.48	2.03	17.13	heterogeneous nuclear ribonucleoprotein A1-like
LOC101288845	KLHL6	-4.24	2.59	21.27	kelch like family member 6
LOC101279032	BTNL2	-7.77	1.56	10.58	butyrophilin like 2
LOC101269430	DDI1	-7.98	1.49	10.73	DNA damage inducible 1 homolog 1
LOC101275656	SLAMF6	-6.76	1.83	16.74	SLAM family member 6
LOC101284840	SNTG1	-7.41	1.7	11.97	syntrophin gamma 1
LOC101277550	LOC101277550	-6.25	1.26	8.94	glycerol-3-phosphate dehydrogenase 1-like protein
LOC101270017	PPARGC1A	-3.35	3.21	31.65	PPARG coactivator 1 alpha
LOC101275717	IL2RA	-5.86	3	28.28	interleukin 2 receptor subunit alpha
LOC101289733	FAM5C	-8.16	1.66	12.53	BMP/retinoic acid inducible neural specific 3
LOC101270433	LOC101270433	-7.39	1.3	9.55	major facilitator superfamily domain-containing protein 1-like
LOC101290191	TMC5	-6.78	1.83	12.93	transmembrane channel like 5
LOC117200583	LOC117200583	-5.08	2.07	14.83	60S ribosomal protein L39-like
LOC101272116	GDA	-5.86	1.91	14.79	guanine deaminase
LOC101278663	KCNS2	-5.79	3.2	32.58	potassium voltage-gated channel modifier subfamily S member 2
LOC101270477	MCF2	-7.8	1.27	10.7	MCF.2 cell line derived transforming sequence
LOC101279729	MSGN1	-7.43	2.68	23.58	mesogenin 1
LOC101285412	HMGB4	-7.1	0.89	6.7	high mobility group box 4
LOC101283977	PCDH15	-4.96	3.08	31.18	protocadherin related 15
LOC125962664	LOC125962664	-8.83	2.37	18.78	zinc finger protein 550-like
LOC101277397	GABRA3	-8.03	1.52	11.36	gamma-aminobutyric acid type A receptor subunit alpha3
LOC125960841	LOC125960841	-7.5	4.57	172.73	uncharacterized LOC125960841
LOC101289168	SLC6A3	-7.37	1.3	9.21	solute carrier family 6 member 3
